PID,experiment,calc,return
25,1,1,27.0
27,1,1,30.0
33,1,0,50.0
39,1,1,50.0
43,1,1,0.0
45,1,1,30.0
46,1,1,50.0
71,1,1,0.0
100,1,0,0.0
135,1,0,0.0
160,1,1,50.0
167,1,1,30.0
173,1,1,5.0
174,1,1,0.0
198,1,1,12.0
217,1,1,0.0
223,1,0,0.0
227,1,1,9.0
231,1,1,2.0
237,1,1,19.0
249,1,0,0.0
258,1,1,30.0
283,1,0,20.0
284,1,1,50.0
317,1,0,30.0
324,1,0,0.0
346,1,0,10.0
347,1,0,0.0
360,1,1,50.0
365,1,0,0.0
377,1,1,50.0
381,1,1,0.0
408,1,1,10.0
418,1,1,0.0
434,1,1,0.0
435,1,1,50.0
444,1,1,25.0
449,1,1,0.0
451,1,0,0.0
458,1,1,0.0
474,1,1,0.0
475,1,1,0.0
524,1,0,50.0
529,1,0,0.0
537,1,1,20.0
543,1,0,0.0
544,1,1,50.0
549,1,0,50.0
551,1,0,0.0
556,1,0,0.0
568,1,1,0.0
580,1,1,9.0
585,1,0,1.0
589,1,1,20.0
611,1,1,0.0
642,1,1,50.0
654,1,1,50.0
655,1,1,0.0
661,1,1,50.0
664,1,1,50.0
668,1,1,50.0
671,1,1,20.0
683,1,0,0.0
700,1,1,12.0
702,1,1,0.0
711,1,0,40.0
712,1,1,20.0
748,1,0,10.0
763,1,1,10.0
771,1,0,50.0
781,1,1,40.0
792,1,0,50.0
793,1,1,0.0
797,1,1,50.0
800,1,1,0.0
808,1,0,50.0
810,1,0,50.0
812,1,1,0.0
822,1,1,0.0
824,1,1,50.0
842,1,1,0.0
847,1,1,30.0
892,1,1,0.0
925,1,1,0.0
928,1,1,2.0
961,1,1,50.0
974,1,1,40.0
977,1,1,5.0
990,1,1,0.0
991,1,1,25.0
1004,1,1,25.0
1007,1,0,0.0
1008,1,1,0.0
1023,1,1,40.0
1035,1,1,35.0
1037,1,0,50.0
1070,1,1,48.0
1078,1,0,0.0
1085,1,1,50.0
1086,1,1,0.0
1093,1,0,0.0
1105,1,0,20.0
1108,1,1,0.0
1112,1,0,0.0
1120,1,0,0.0
1123,1,1,0.0
1153,1,0,0.0
1159,1,1,0.0
1188,1,0,0.0
1206,1,0,1.0
1215,1,0,50.0
1218,1,0,40.0
1228,1,1,0.0
1243,1,0,0.0
1246,1,0,0.0
1249,1,1,30.0
1254,1,1,50.0
1261,1,1,50.0
1290,1,1,0.0
1300,1,1,5.0
1305,1,1,6.0
1321,1,1,0.0
1325,1,1,0.0
1338,1,1,29.0
1342,1,1,0.0
1407,1,1,70.0
1409,1,1,0.0
1444,1,0,0.0
1464,1,1,50.0
1493,1,0,0.0
1497,1,1,20.0
1533,1,1,20.0
1541,1,1,0.0
1543,1,0,5.0
1549,1,1,100.0
1555,1,0,0.0
1557,1,1,50.0
1580,1,1,0.0
1582,1,1,0.0
1605,1,0,0.0
1621,1,0,0.0
1622,1,1,0.0
1625,1,0,10.0
1629,1,1,50.0
1664,1,0,0.0
1673,1,1,10.0
1688,1,1,20.0
1700,1,0,4.0
1730,1,1,50.0
1731,1,0,50.0
1747,1,0,10.0
1758,1,0,0.0
1776,1,0,100.0
1780,1,0,0.0
1800,1,1,0.0
1813,1,1,50.0
1817,1,1,50.0
1849,1,0,0.0
1855,1,1,35.0
1864,1,0,1.0
1878,1,1,0.0
1893,1,0,19.0
1909,1,0,0.0
1910,1,1,10.0
1916,1,0,0.0
1931,1,0,0.0
1933,1,0,0.0
1959,1,1,0.0
1989,1,1,20.0
1990,1,0,30.0
1996,1,1,100.0
2004,1,1,45.0
2005,1,1,50.0
2007,1,1,50.0
2008,1,1,50.0
2009,1,0,41.0
2024,1,1,0.0
2034,1,0,0.0
2066,1,0,0.0
2089,1,1,28.0
2105,1,1,10.0
2111,1,1,0.0
2115,1,1,50.0
2137,1,0,0.0
2173,1,1,60.0
2178,1,1,3.0
2180,1,1,30.0
2208,1,1,48.0
2238,1,1,20.0
2240,1,1,51.0
2283,1,1,0.0
2290,1,1,0.0
2305,1,0,20.0
2319,1,1,20.0
2325,1,1,0.0
2334,1,1,20.0
2396,1,0,50.0
2416,1,1,0.0
2456,1,1,0.0
2462,1,1,0.0
2470,1,0,40.0
2481,1,1,10.0
2489,1,1,39.0
2497,1,1,10.0
2508,1,1,0.0
2532,1,0,62.0
2542,1,1,0.0
2561,1,1,10.0
2562,1,0,50.0
2575,1,1,0.0
